Date,GDPC1
10/1/99,12877.593
1/1/00,12924.179
4/1/00,13160.842
7/1/00,13178.419
10/1/00,13260.506
1/1/01,13222.69
4/1/01,13299.984
7/1/01,13244.784
10/1/01,13280.859
1/1/02,13397.002
4/1/02,13478.152
7/1/02,13538.072
10/1/02,13559.032
1/1/03,13634.253
4/1/03,13751.543
7/1/03,13985.073
10/1/03,14145.645
1/1/04,14221.147
4/1/04,14329.523
7/1/04,14464.984
10/1/04,14609.876
1/1/05,14771.602
4/1/05,14839.782
7/1/05,14972.054
10/1/05,15066.597
1/1/06,15267.026
4/1/06,15302.705
7/1/06,15326.368
10/1/06,15456.928
1/1/07,15493.328
4/1/07,15582.085
7/1/07,15666.738
10/1/07,15761.967
1/1/08,15671.383
4/1/08,15752.308
7/1/08,15667.032
10/1/08,15328.027
1/1/09,15155.94
4/1/09,15134.117
7/1/09,15189.222
10/1/09,15356.058
1/1/10,15415.145
4/1/10,15557.277
7/1/10,15671.967
10/1/10,15750.625
1/1/11,15712.754
4/1/11,15825.096
7/1/11,15820.7
10/1/11,16004.107
1/1/12,16129.418
4/1/12,16198.807
7/1/12,16220.667
10/1/12,16239.138
1/1/13,16382.964
4/1/13,16403.18
7/1/13,16531.685
10/1/13,16663.649
1/1/14,16616.54
4/1/14,16841.475
7/1/14,17047.098
10/1/14,17143.038