Date,MICH
1/1/94,2.8
2/1/94,2.8
3/1/94,3
4/1/94,3
5/1/94,3.1
6/1/94,2.7
7/1/94,2.9
8/1/94,3.1
9/1/94,3.4
10/1/94,3
11/1/94,3.2
12/1/94,3
1/1/95,3
2/1/95,3
3/1/95,3.2
4/1/95,3.3
5/1/95,3
6/1/95,2.9
7/1/95,2.9
8/1/95,2.9
9/1/95,2.8
10/1/95,2.9
11/1/95,2.8
12/1/95,2.7
1/1/96,2.8
2/1/96,2.8
3/1/96,2.9
4/1/96,3
5/1/96,3.1
6/1/96,2.9
7/1/96,3
8/1/96,3.1
9/1/96,3.2
10/1/96,3
11/1/96,3
12/1/96,3
1/1/97,3
2/1/97,3
3/1/97,2.8
4/1/97,3
5/1/97,2.9
6/1/97,2.8
7/1/97,2.7
8/1/97,2.7
9/1/97,2.8
10/1/97,2.8
11/1/97,2.9
12/1/97,2.8
1/1/98,2.3
2/1/98,2.4
3/1/98,2.5
4/1/98,2.4
5/1/98,2.6
6/1/98,2.7
7/1/98,2.6
8/1/98,2.4
9/1/98,2.3
10/1/98,2.5
11/1/98,2.3
12/1/98,2.5
1/1/99,2.7
2/1/99,2.5
3/1/99,2.7
4/1/99,2.7
5/1/99,2.8
6/1/99,2.5
7/1/99,2.7
8/1/99,2.8
9/1/99,2.7
10/1/99,2.9
11/1/99,2.9
12/1/99,3
1/1/00,3
2/1/00,2.9
3/1/00,3.2
4/1/00,3.2
5/1/00,3
6/1/00,2.9
7/1/00,3
8/1/00,2.7
9/1/00,2.9
10/1/00,3.2
11/1/00,2.9
12/1/00,2.8
1/1/01,3
2/1/01,2.8
3/1/01,2.8
4/1/01,3.1
5/1/01,3.2
6/1/01,3
7/1/01,2.6
8/1/01,2.7
9/1/01,2.8
10/1/01,1
11/1/01,0.4
12/1/01,1.8
1/1/02,1.9
2/1/02,2.1
3/1/02,2.7
4/1/02,2.8
5/1/02,2.7
6/1/02,2.7
7/1/02,2.6
8/1/02,2.6
9/1/02,2.5
10/1/02,2.5
11/1/02,2.4
12/1/02,2.5
1/1/03,2.5
2/1/03,2.7
3/1/03,3.1
4/1/03,2.4
5/1/03,2
6/1/03,2.1
7/1/03,1.7
8/1/03,2.5
9/1/03,2.8
10/1/03,2.6
11/1/03,2.7
12/1/03,2.6
1/1/04,2.7
2/1/04,2.6
3/1/04,2.9
4/1/04,3.2
5/1/04,3.3
6/1/04,3.3
7/1/04,3
8/1/04,2.8
9/1/04,2.8
10/1/04,3.1
11/1/04,2.8
12/1/04,3
1/1/05,2.9
2/1/05,2.9
3/1/05,3.2
4/1/05,3.3
5/1/05,3.2
6/1/05,3.2
7/1/05,3
8/1/05,3.1
9/1/05,4.3
10/1/05,4.6
11/1/05,3.3
12/1/05,3.1
1/1/06,3
2/1/06,3
3/1/06,3
4/1/06,3.3
5/1/06,4
6/1/06,3.3
7/1/06,3.2
8/1/06,3.8
9/1/06,3.1
10/1/06,3.1
11/1/06,3
12/1/06,2.9
1/1/07,3
2/1/07,3
3/1/07,3
4/1/07,3.3
5/1/07,3.3
6/1/07,3.4
7/1/07,3.4
8/1/07,3.2
9/1/07,3.1
10/1/07,3.1
11/1/07,3.4
12/1/07,3.4
1/1/08,3.4
2/1/08,3.6
3/1/08,4.3
4/1/08,4.8
5/1/08,5.2
6/1/08,5.1
7/1/08,5.1
8/1/08,4.8
9/1/08,4.3
10/1/08,3.9
11/1/08,2.9
12/1/08,1.7
1/1/09,2.2
2/1/09,1.9
3/1/09,2
4/1/09,2.8
5/1/09,2.8
6/1/09,3.1
7/1/09,2.9
8/1/09,2.8
9/1/09,2.2
10/1/09,2.9
11/1/09,2.7
12/1/09,2.5
1/1/10,2.8
2/1/10,2.7
3/1/10,2.7
4/1/10,2.9
5/1/10,3.2
6/1/10,2.8
7/1/10,2.7
8/1/10,2.7
9/1/10,2.2
10/1/10,2.7
11/1/10,3
12/1/10,3
1/1/11,3.4
2/1/11,3.4
3/1/11,4.6
4/1/11,4.6
5/1/11,4.1
6/1/11,3.8
7/1/11,3.4
8/1/11,3.5
9/1/11,3.3
10/1/11,3.2
11/1/11,3.2
12/1/11,3.1
1/1/12,3.3
2/1/12,3.3
3/1/12,3.9
4/1/12,3.2
5/1/12,3
6/1/12,3.1
7/1/12,3
8/1/12,3.6
9/1/12,3.3
10/1/12,3.1
11/1/12,3.1
12/1/12,3.2
1/1/13,3.3
2/1/13,3.3
3/1/13,3.2
4/1/13,3.1
5/1/13,3.1
6/1/13,3
7/1/13,3.1
8/1/13,3
9/1/13,3.3
10/1/13,3
11/1/13,2.9
12/1/13,3
1/1/14,3.1
2/1/14,3.2
3/1/14,3.2
4/1/14,3.2
5/1/14,3.3
6/1/14,3.1
7/1/14,3.3
8/1/14,3.2
9/1/14,3
10/1/14,2.9
11/1/14,2.8
12/1/14,2.8
1/1/15,2.7