,0,1
0,MMM,17300.856783492785
1,ABT,1607.7446242749588
2,ATVI,2039.1655607424518
3,ADBE,33903.88552280913
4,AMD,183.43947945496254
5,AES,6.608710538498158
6,AFL,590.7526592514254
7,APD,13934.788442344621
8,ALK,3575.0099541090663
9,AGN,25393.942706797272
10,LNT,571.7496462255053
11,ALL,3932.6492807499603
12,MO,679.8636728328887
13,AEP,1377.641477727931
14,AXP,3257.0318948283134
15,AIG,308756.36582590797
16,AME,2831.4883855762237
17,AMGN,14629.727000724459
18,APH,3927.865393265589
19,ADI,3037.7237464834725
20,AON,12439.988876570904
21,AOS,2084.4437922850434
22,APA,300.8234446106643
23,AAPL,19840.804631836574
24,AMAT,670.9056407761797
25,ADM,278.61769411560215
26,AJG,2182.4800631341877
27,T,32.216713161411995
28,ADSK,10252.432269729574
29,ADP,8743.761900116353
30,AZO,502125.6968170128
31,AVY,2968.9742024304123
32,BLL,1878.4967472623687
33,BAC,43.13359655080423
34,BK,333.75092892308305
35,BAX,1130.3228477203031
36,BDX,28103.978790032383
37,BBY,1698.9654444482871
38,BIIB,58392.874293089284
39,HRB,102.04983238838399
40,BA,56052.87737016548
41,BWA,591.11559307141
42,BSX,393.38216870653036
43,BMY,835.1237792206467
44,COG,184.24352951360856
45,CDNS,1227.8426619885377
46,CPB,504.2793201465682
47,CAH,437.326492433735
48,CCL,830.0737450565484
49,CAT,5500.287689103608
50,CNP,209.4287473535115
51,CTL,218.443682520843
52,CERN,2150.6286408165975
53,SCHW,818.3137820014333
54,CHK,4330552.663536299
55,CVX,3500.5004965336807
56,CB,8534.452379070462
57,CHD,2140.2645737269004
58,CI,16103.313402605987
59,CINF,2393.8117638658546
60,CTAS,20093.65886335511
61,CSCO,484.911515331067
62,C,10933.522042090524
63,CLX,8563.824963016852
64,CMS,833.1558682470243
65,KO,284.7571676632162
66,CL,1364.8615066135926
67,CMCSA,851.1658136055801
68,CMA,1029.9026770362752
69,CAG,206.22469111038
70,COP,245.4739102778745
71,ED,1361.4622807229994
72,STZ,27919.81248422207
73,COO,36553.33449921382
74,GLW,121.20903027533241
75,COST,20414.126064143416
76,CSX,1989.45577691019
77,CMI,13955.80536072227
78,CVS,2764.442985169034
79,DHI,726.7391893388443
80,DHR,6211.950453208487
81,DE,7787.725803468608
82,XRAY,940.3085872977667
83,DVN,63.650717664123135
84,D,1739.3176689512113
85,DOV,3374.823573809665
86,DTE,4336.858068540885
87,DRE,75.74737415596071
88,DUK,1617.5553844821227
89,DXC,2295.858696693206
90,EMN,2164.243494504759
91,ETN,1884.2898224660084
92,ECL,11471.121104644542
93,EIX,1618.7040355597308
94,EA,6004.979175530036
95,EMR,614.0278859780205
96,ETR,1168.527190990561
97,EOG,3788.0363644247623
98,EQT,229.12926797403048
99,EFX,8365.7361168522
100,EQR,1021.0090611619096
101,ES,1507.310217720017
102,EXC,48.69654916220263
103,EXPD,1712.13405770909
104,XOM,1450.9246205812171
105,FAST,361.59388419107523
106,FRT,5020.9310514011895
107,FDX,15782.211014848146
108,FITB,26.814919347831317
109,FISV,3930.055643538087
110,FLIR,438.25610934343274
111,FLS,537.6836436560565
112,FMC,2312.372113568807
113,FL,832.1324644068367
114,F,6.346362524828599
115,BEN,74.30470513669644
116,GPS,169.76324401125683
117,IT,12011.008695687386
118,GD,15503.087561220289
119,GE,108.85656176591753
120,GIS,1504.8551160088705
121,GPC,3861.173097992244
122,GILD,3792.2416498115767
123,GT,62.87811270569938
124,GWW,32114.01541710325
125,HAL,255.71908381254767
126,HOG,880.4254530318407
127,HAS,2978.057470228358
128,HP,1228.3957892383416
129,HSY,5983.281787007617
130,HES,480.4403973259998
131,HOLX,1005.4125651097785
132,HD,21217.917996414035
133,HON,10383.672655381064
134,HRL,812.6032963534398
135,HST,17.694202066895354
136,HPQ,14.311473664286813
137,HUM,44279.91470918955
138,HBAN,4.647996533124986
139,IDXX,25657.464628136557
140,ITW,9414.363409676003
141,INTC,552.4139392177799
142,IBM,4641.634564771704
143,INCY,6172.497010210846
144,IP,615.6143138206428
145,IPG,173.99922746761237
146,IFF,7280.668080410389
147,INTU,22164.236871479676
148,JBHT,6387.278043506528
149,JNJ,7788.838903067653
150,JCI,142.7193456701177
151,JPM,3834.9971850482884
152,KSU,3360.7981974016743
153,K,702.8375563404999
154,KEY,21.834260672296654
155,KMB,5811.815234139964
156,KIM,29.613578758381163
157,KLAC,5681.359122640011
158,KSS,614.4218308710339
159,KR,381.5296354553353
160,LB,932.695600767449
161,LH,11388.999824383221
162,LRCX,18238.949504728185
163,LEG,828.0480181344426
164,LEN,726.5023893550057
165,LLY,3018.4236024095903
166,LNC,731.1984069598338
167,LMT,43916.85281912467
168,L,821.9612036382065
169,LOW,5049.640907413055
170,MTB,2413.064224072506
171,M,83.33049457526397
172,MRO,15.350213653857663
173,MAR,8004.848538133376
174,MMC,3411.066395697422
175,MAS,586.373805533351
176,MAT,73.48181241192208
177,MKC,10088.876830006231
178,MCD,11490.246981541744
179,MDT,3754.2712356449183
180,MRK,296.9844731076113
181,MGM,196.53997116851804
182,MCHP,3784.541505318614
183,MU,695.4119515004649
184,MSFT,5208.69754005444
185,MAA,3231.6602440912066
186,MHK,19916.37634852596
187,TAP,2451.4705486586536
188,MNST,2641.5606687207573
189,MS,242.3756162957408
190,MOS,102.3487029329037
191,MSI,5052.906420963784
192,MYL,249.68907328235474
193,NWL,283.7768755676913
194,NEM,211.18228567556253
195,NEE,16633.032883381933
196,NKE,3188.0069317023494
197,NI,402.23661238242664
198,NBL,255.0549205339282
199,JWN,660.3032079894479
200,NSC,8669.073370885291
201,NTRS,1275.0364796098947
202,NOC,55475.54910798685
203,NUE,1219.4350210849873
204,ORLY,63354.61155784695
205,OXY,1522.909093667148
206,OMC,2499.209881563173
207,OKE,1843.7016799317166
208,ORCL,1224.4611656350182
209,PCAR,1324.1473741202349
210,PH,12767.74950656759
211,PDCO,151.6844178415783
212,PAYX,1306.8547572952205
213,PNR,277.82213216992193
214,PBCT,49.0062661063532
215,PEP,4855.8432297100035
216,PKI,2200.3998225477217
217,PRGO,1633.0680556501216
218,PFE,194.00977791364943
219,PCG,637.4376120318676
220,PNW,2757.393693343886
221,PNC,6420.261382466177
222,PPG,3105.703373392512
223,PPL,102.95871867740513
224,PG,2362.0451518732693
225,PGR,1457.0650996158881
226,PEG,806.7856941682866
227,PSA,20874.79910079833
228,PHM,217.78307780273883
229,PVH,6199.400951705712
230,QCOM,1125.197873300014
231,RRC,184.24518970019503
232,RJF,2700.5370719570733
233,RTN,16832.994938827105
234,REG,1350.2080771604474
235,REGN,86268.91548913093
236,RF,19.39791437052505
237,RHI,1095.144638143168
238,ROK,11561.349000543969
239,ROP,46122.0465938073
240,ROST,4305.282869053483
241,RCL,5682.771968526986
242,SLB,774.8801139685754
243,SEE,607.5120179616954
244,SHW,111337.78532287867
245,SIG,1824.1668248033218
246,SPG,9226.867642495818
247,SWKS,5245.832444201452
248,SNA,12171.41404877935
249,SO,573.7071647361417
250,LUV,1601.1428049361691
251,SPGI,20866.063388093284
252,SWK,7731.437003124457
253,SBUX,2474.124542487161
254,STT,1730.5679737325186
255,SYK,13665.10413416337
256,SNPS,4169.47416620994
257,SYY,1456.8463976913636
258,TROW,3709.912658810737
259,TGT,2512.2535897174116
260,TXN,4017.6249243656544
261,TXT,639.2127372781908
262,TMO,28430.398184119007
263,TIF,3428.1717018545964
264,TJX,1282.3654372038375
265,TRV,5484.634614154627
266,TSN,2516.887521810266
267,UDR,571.2831401914245
268,USB,1036.9834410259602
269,UNP,13386.469193588706
270,UNH,29778.511535570455
271,UTX,5947.720890854374
272,UHS,9323.982354062915
273,UNM,341.4111234003121
274,VFC,2449.2384250763353
275,VLO,4932.506001760067
276,VAR,4406.992648399795
277,VZ,338.87923127256806
278,VRTX,12334.492030965517
279,VNO,869.8972765962924
280,VMC,5966.227926654634
281,WMT,1579.2856730593292
282,WBA,2079.1674114935054
283,DIS,5286.332163659163
284,WM,3430.7139407450322
285,WEC,2349.2841139225575
286,WFC,665.479723676471
287,WDC,2470.926470671149
288,WY,161.1446362975612
289,WHR,6968.579940106238
290,WMB,21.770084228730166
291,XEL,432.24212415693086
292,XRX,211.14480758170055
293,XLNX,2401.8101922217656
294,ZION,306.97403930851044
